Target especifico,ODS,Valores
1.3,ODS1,38
1.4,ODS1,1
1.5,ODS1,1
2.0,ODS2,1
2.8,ODS2,2
3.0,ODS3,1
3.8,ODS3,32
4.1,ODS4,1
4.2,ODS4,22
4.3,ODS4,74
4.4,ODS4,38
4.5,ODS4,36
4.6,ODS4,1
4.7,ODS4,26
4.b,ODS4,77
4.c,ODS4,53
5.0,ODS5,50
5.1,ODS5,1
5.5,ODS5,21
5.c,ODS5,1
7.2,ODS7,3
7.3,ODS7,4
8.1,ODS8,41
8.2,ODS8,23
8.5,ODS8,15
8.6,ODS8,15
8.8,ODS8,5
8.9,ODS8,1
9.0,ODS9,34
9.4,ODS9,4
9.5,ODS9,69
10.0,ODS10,18
10.2,ODS10,23
10.3,ODS10,71
10.4,ODS10,7
10.7,ODS10,3
11.0,ODS11,10
11.2,ODS11,3
11.4,ODS11,6
11.a,ODS11,5
12.3,ODS12,3
12.8,ODS12,2
13.3,ODS13,4
15.0,ODS15,1
16.0,ODS16,16
16.1,ODS16,6
16.3,ODS16,11
16.5,ODS16,19
16.6,ODS16,3
16.9,ODS16,16
17.0,ODS17,1
17.1,ODS17,24
17.2,ODS17,1
17.6,ODS17,17
17.7,ODS17,1
