Target especifico,ODS,Frecuencia
4.b,ODS4,77
4.3,ODS4,74
10.3,ODS10,71
9.5,ODS9,69
4.c,ODS4,53
5.0,ODS5,50
8.1,ODS8,41
1.3,ODS1,38
4.4,ODS4,38
4.5,ODS4,36
4.2,ODS4,35
9.0,ODS9,34
3.8,ODS3,32
4.7,ODS4,26
10.2,ODS10,24
8.2,ODS8,23
17.1,ODS17,24
5.5,ODS5,21
10.0,ODS10,18
17.6,ODS17,18
16.5,ODS16,19
16.9,ODS16,16
16.0,ODS16,16
8.5,ODS8,15
8.6,ODS8,15
16.3,ODS16,11
11.0,ODS11,10
10.7,ODS10,7
16.6,ODS16,6
11.4,ODS11,6
11.a,ODS11,5
8.8,ODS8,5
9.4,ODS9,4
13.3,ODS13,4
7.3,ODS7,4
10.4,ODS10,3
12.3,ODS12,3
11.2,ODS11,3
7.2,ODS7,3
12.8,ODS12,2
2.8,ODS2,2
5.c,ODS5,1
5.1,ODS5,1
4.6,ODS4,1
4.1,ODS4,1
3.0,ODS3,1
2.0,ODS2,1
1.5,ODS1,1
1.4,ODS1,1
15.0,ODS15,1
17.0,ODS17,1
17.7,ODS17,1
17.2,ODS17,1
8.9,ODS8,1
