Universidad,ODS1,ODS2,ODS3,ODS4,ODS5,ODS6,ODS7,ODS8,ODS9,ODS10,ODS11,ODS12,ODS13,ODS14,ODS15,ODS16,ODS17
Universidad Las Palmas de Gran Canaria (ULPGC),0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Universidad Internacional Menendez Pelayo,0,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
Universidad Euneiz,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0
Universidad Pontifica de Salamanca,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0
UNED,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0
Universidad de Navarra,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0
Universidad Cardenal Herrera,0,0,0,81,0,0,0,0,9,9,0,0,0,0,0,0,0
Universidad Catolica de Valencia San Vicente Martir,0,0,0,80,0,0,0,0,0,10,0,0,0,0,0,0,10
IE Universidad,0,16,0,66,0,0,0,0,0,0,0,0,0,0,0,0,18
Universidad Internacional de Valencia (VIU),0,0,0,60,0,0,0,0,20,20,0,0,0,0,0,0,0
Universidad Europea de Madrid,0,0,0,37,0,0,0,12,0,50,0,0,0,0,0,0,0
Universitat Oberta de Catalunya,0,0,0,10,0,0,0,0,0,80,0,0,0,0,0,10,0
Universidad Internacional de la Rioja,6,0,0,56,0,0,0,2,0,34,0,0,0,0,0,0,0
Universidad Juan Carlos I,0,0,0,52,0,0,0,0,10,26,0,0,0,0,0,0,12
Universidad Internacional de Villanueva,7,0,0,46,0,0,0,11,0,34,0,0,0,0,0,0,0
Universidad Intercontinental de la Empresa (UIE),0,0,8,41,0,0,0,8,0,41,0,0,0,0,0,0,0
Universidad Europea de Valencia,0,0,0,36,9,0,0,45,0,0,0,0,0,0,0,9,0
Universidad de San Jorge,7,0,0,35,50,0,0,0,0,0,0,0,0,0,0,0,7
Universidad Carlos III de Madrid,0,0,0,10,0,0,0,0,0,75,0,0,0,0,5,10,0
Universidad Catolica de San Antonio de Murcia,0,0,0,59,4,0,0,18,9,9,0,0,0,0,0,0,0
Universidad de Vitoria,0,0,0,45,18,0,0,9,18,10,0,0,0,0,0,0,0
