anio,serie,porcentaje
2015,"Alianzas",11.1
2015,"Formación",0.0
2015,"Buenas prácticas",11.1
2016,"Alianzas",0.0
2016,"Formación",5.9
2016,"Buenas prácticas",5.9
2017,"Alianzas",7.1
2017,"Formación",14.3
2017,"Buenas prácticas",7.1
2018,"Alianzas",25.0
2018,"Formación",18.8
2018,"Buenas prácticas",12.5
2019,"Alianzas",31.8
2019,"Formación",22.7
2019,"Buenas prácticas",22.7
2020,"Alianzas",41.7
2020,"Formación",41.7
2020,"Buenas prácticas",33.3
2021,"Alianzas",48.0
2021,"Formación",40.0
2021,"Buenas prácticas",44.0
2022,"Alianzas",43.3
2022,"Formación",40.0
2022,"Buenas prácticas",50.0
