anio,ods,valor
2015,"ODS1",1
2015,"ODS2",1
2015,"ODS3",0
2015,"ODS4",0
2015,"ODS5",1
2015,"ODS6",1
2015,"ODS7",0
2015,"ODS8",0
2015,"ODS9",0
2015,"ODS10",0
2015,"ODS11",0
2015,"ODS12",1
2015,"ODS13",1
2015,"ODS14",1
2015,"ODS15",1
2015,"ODS16",1
2015,"ODS17",0
2016,"ODS1",3
2016,"ODS2",3
2016,"ODS3",3
2016,"ODS4",3
2016,"ODS5",4
2016,"ODS6",4
2016,"ODS7",3
2016,"ODS8",3
2016,"ODS9",3
2016,"ODS10",3
2016,"ODS11",3
2016,"ODS12",3
2016,"ODS13",3
2016,"ODS14",3
2016,"ODS15",3
2016,"ODS16",3
2016,"ODS17",3
2017,"ODS1",3
2017,"ODS2",3
2017,"ODS3",3
2017,"ODS4",3
2017,"ODS5",3
2017,"ODS6",3
2017,"ODS7",3
2017,"ODS8",3
2017,"ODS9",3
2017,"ODS10",3
2017,"ODS11",3
2017,"ODS12",3
2017,"ODS13",3
2017,"ODS14",3
2017,"ODS15",3
2017,"ODS16",3
2017,"ODS17",3
2018,"ODS1",5
2018,"ODS2",6
2018,"ODS3",6
2018,"ODS4",6
2018,"ODS5",7
2018,"ODS6",6
2018,"ODS7",6
2018,"ODS8",6
2018,"ODS9",6
2018,"ODS10",7
2018,"ODS11",6
2018,"ODS12",6
2018,"ODS13",6
2018,"ODS14",6
2018,"ODS15",6
2018,"ODS16",7
2018,"ODS17",7
2019,"ODS1",7
2019,"ODS2",8
2019,"ODS3",11
2019,"ODS4",12
2019,"ODS5",10
2019,"ODS6",10
2019,"ODS7",10
2019,"ODS8",9
2019,"ODS9",10
2019,"ODS10",10
2019,"ODS11",9
2019,"ODS12",10
2019,"ODS13",10
2019,"ODS14",7
2019,"ODS15",8
2019,"ODS16",10
2019,"ODS17",10
2020,"ODS1",12
2020,"ODS2",13
2020,"ODS3",14
2020,"ODS4",16
2020,"ODS5",16
2020,"ODS6",16
2020,"ODS7",16
2020,"ODS8",13
2020,"ODS9",16
2020,"ODS10",14
2020,"ODS11",13
2020,"ODS12",14
2020,"ODS13",15
2020,"ODS14",13
2020,"ODS15",14
2020,"ODS16",14
2020,"ODS17",14
2021,"ODS1",14
2021,"ODS2",14
2021,"ODS3",17
2021,"ODS4",17
2021,"ODS5",16
2021,"ODS6",16
2021,"ODS7",17
2021,"ODS8",16
2021,"ODS9",17
2021,"ODS10",17
2021,"ODS11",15
2021,"ODS12",17
2021,"ODS13",17
2021,"ODS14",15
2021,"ODS15",16
2021,"ODS16",15
2021,"ODS17",17
2022,"ODS1",18
2022,"ODS2",16
2022,"ODS3",18
2022,"ODS4",20
2022,"ODS5",20
2022,"ODS6",17
2022,"ODS7",19
2022,"ODS8",18
2022,"ODS9",19
2022,"ODS10",18
2022,"ODS11",18
2022,"ODS12",19
2022,"ODS13",20
2022,"ODS14",15
2022,"ODS15",18
2022,"ODS16",18
2022,"ODS17",19
2023,"ODS1",13
2023,"ODS2",13
2023,"ODS3",15
2023,"ODS4",16
2023,"ODS5",15
2023,"ODS6",12
2023,"ODS7",14
2023,"ODS8",14
2023,"ODS9",15
2023,"ODS10",14
2023,"ODS11",14
2023,"ODS12",15
2023,"ODS13",16
2023,"ODS14",14
2023,"ODS15",14
2023,"ODS16",14
2023,"ODS17",16
