Anio,Tipo,ID,Titulo,Beneficiario,CCAA,Inicio,Fin,Cuantia,ODS
2016,Horizonte 2020,710470,Evaluation Framework for Promoting Gender Equality in Research and Innovation,FUNDACIO PER A LA UNIVERSITAT OBERTA DE CATALUNYA,CATALUÑA,2016-06-01,2019-05-31,1998985.0,ODS5 ODS8 ODS9
2016,Horizonte 2020,722788,Single Point Of aTtachment communications empowered by cLoud computing and bIG data analytics running on-top of massively distributed and loosely-coupled Heterogeneous mobile data neTworks,FUNDACIO PER A LA UNIVERSITAT OBERTA DE CATALUNYA,CATALUÑA,2017-01-01,2021-06-30,3813484.32,ODS8
2016,Horizonte 2020,727025,Reinventing Democracy in Europe: Youth Doing Politics in Times of Increasing Inequalities,FUNDACIO PER A LA UNIVERSITAT OBERTA DE CATALUNYA,CATALUÑA,2017-02-01,2020-01-31,2595720.0,ODS16
2016,Horizonte 2020,732561,Checking Assumptions aND promoting responsibility In smart Development projects,FUNDACIO PER A LA UNIVERSITAT OBERTA DE CATALUNYA,CATALUÑA,2017-01-01,2017-12-31,566290.0,ODS9
2016,Horizonte 2020,732489,Demonstration of a scalable and cost-effective cloud-based digital learning infrastructure through the Certification of digital competences in primary and secondary schools,FUNDACIO PER A LA UNIVERSITAT OBERTA DE CATALUNYA,CATALUÑA,2017-01-01,2019-12-31,4872336.25,ODS4 ODS9
2016,Horizonte 2020,732546,Decentralised Citizens Owned Data Ecosystem,FUNDACIO PER A LA UNIVERSITAT OBERTA DE CATALUNYA,CATALUÑA,2016-12-01,2019-12-31,4987673.75,ODS9
2016,Horizonte 2020,708527,Smart technology for analysis and monitoring of Cultural Heritage materials,FUNDACIO UNIVERSITARIA BALMES,CATALUÑA,2016-07-01,2018-07-28,170121.6,ODS9
2016,Horizonte 2020,689341,"Development and application of Novel, Integrated Tools for monitoring and managing Catchments",FUNDACIO UNIVERSITARIA BALMES,CATALUÑA,2016-06-01,2020-01-31,7570335.0,ODS9
2016,Horizonte 2020,690323,Scale-up of low-carbon footprint material recovery techniques in existing wastewater treatment plants,FUNDACIO UNIVERSITARIA BALMES,CATALUÑA,2016-06-01,2020-05-31,7536300.02,ODS6 ODS12 ODS13
2016,Horizonte 2020,713366,Programme for Post-Doctoral Talent Attraction to CEI UAM+CSIC,UNIVERSIDAD AUTONOMA DE MADRID,MADRID,2016-06-01,2021-05-31,1274400.0,ODS9
2016,Horizonte 2020,674896,The Elusives Enterprise: Asymmetries of the Invisible Universe,UNIVERSIDAD AUTONOMA DE MADRID,MADRID,2016-04-01,2020-03-31,3855581.28,ODS9
2016,Horizonte 2020,685474,Advanced toolbox for rapid and cost-effective functional metagenomic screening - microbiology meets microfluidics.,UNIVERSIDAD AUTONOMA DE MADRID,MADRID,2016-06-01,2020-11-30,8808363.0,ODS9
2016,Horizonte 2020,722427,4D analysis of heart development and regeneration using advanced light microscopy,UNIVERSIDAD AUTONOMA DE MADRID,MADRID,2017-01-01,2021-02-28,1487736.62,ODS9
2016,Horizonte 2020,694126,Dynamic Control and Numerics of Partial Differential Equations,UNIVERSIDAD AUTONOMA DE MADRID,MADRID,2016-10-01,2022-09-30,2065125.0,ODS9
2016,Horizonte 2020,720270,Human Brain Project Specific Grant Agreement 1,UNIVERSIDAD AUTONOMA DE MADRID,MADRID,2016-04-01,2018-03-31,89000000.0,ODS9
2016,Horizonte 2020,722779,European Training Network for Cell-based Regenerative Medicine,UNIVERSIDAD AUTONOMA DE MADRID,MADRID,2016-11-01,2020-10-31,4028783.4,ODS4 ODS8
2016,Horizonte 2020,734557,Stability and Transitions in Physical Processes,UNIVERSIDAD AUTONOMA DE MADRID,MADRID,2017-03-01,2022-10-31,526500.0,ODS9
2016,Horizonte 2020,733288,ORTHOpedic randomized clinical trial with expanded bone marrow MSC and bioceramics versus autograft in long bone nonUNIONs,UNIVERSIDAD AUTONOMA DE MADRID,MADRID,2017-01-01,2022-06-30,5999150.87,ODS9
2016,Horizonte 2020,734374,Latin American Chinese European Galaxy Formation Network,UNIVERSIDAD AUTONOMA DE MADRID,MADRID,2017-03-01,2022-09-30,1350000.0,ODS8
2016,Horizonte 2020,703009,Ancient Philosophy and the Emergence of European Thought: Phenomenology in Conversation with Classical Studies,UNIVERSIDAD CARLOS III DE MADRID,MADRID,2016-09-01,2018-08-31,158121.6,ODS9
2016,Horizonte 2020,696656,Graphene-based disruptive technologies,UNIVERSIDAD CARLOS III DE MADRID,MADRID,2016-04-01,2018-03-31,89000000.0,ODS9
2016,Horizonte 2020,675683,Convergence of Electronics and Photonics Technologies for Enabling Terahertz Applications,UNIVERSIDAD CARLOS III DE MADRID,MADRID,2016-03-01,2020-02-29,3785419.68,ODS9
2016,Horizonte 2020,692474,"Architecture-driven, Multi-concern and Seamless Assurance and Certification of Cyber-Physical Systems",UNIVERSIDAD CARLOS III DE MADRID,MADRID,2016-04-01,2019-03-31,6178242.9,ODS9
2016,Horizonte 2020,699294,Meteorological Uncertainty Management for Trajectory Based Operations,UNIVERSIDAD CARLOS III DE MADRID,MADRID,2016-06-01,2018-05-31,488750.0,ODS9
2016,Horizonte 2020,715873,CROR Engine debris Middle level Impact and Mechanical test,UNIVERSIDAD CARLOS III DE MADRID,MADRID,2016-09-01,2021-02-28,399066.0,ODS9
2016,Horizonte 2020,681575,Market Design: Theory and Applications in Development,UNIVERSIDAD CARLOS III DE MADRID,MADRID,2016-08-01,2022-07-31,1516287.5,ODS9
2016,Horizonte 2020,722427,4D analysis of heart development and regeneration using advanced light microscopy,UNIVERSIDAD CARLOS III DE MADRID,MADRID,2017-01-01,2021-02-28,1487736.62,ODS9
2016,Horizonte 2020,675087,AMBER - enhAnced Mobile BiomEtRics,UNIVERSIDAD CARLOS III DE MADRID,MADRID,2017-01-01,2020-12-31,2505152.16,ODS9
2016,Horizonte 2020,731940,Challenging the ICT Patent Framework for Responsible Innovation,UNIVERSIDAD CARLOS III DE MADRID,MADRID,2016-11-01,2017-11-30,351952.5,ODS8 ODS9
2016,Horizonte 2020,730028,MagnetIc NOzzle thruster with elecTron cyclOtron Resonance,UNIVERSIDAD CARLOS III DE MADRID,MADRID,2017-01-01,2020-07-31,1485809.5,ODS9
2016,Horizonte 2020,714161,Information Theory for Low-Latency Wireless Communications,UNIVERSIDAD CARLOS III DE MADRID,MADRID,2017-03-01,2023-02-28,1424000.0,ODS9
2016,Horizonte 2020,730135,Consortium for Hall Effect Orbital Propulsion System,UNIVERSIDAD CARLOS III DE MADRID,MADRID,2016-11-01,2021-04-30,10960028.89,ODS9
2016,Horizonte 2020,732497,Evolving FIRE into a 5G-Oriented Experimental Playground for Vertical industries,UNIVERSIDAD CARLOS III DE MADRID,MADRID,2017-01-01,2019-12-31,4999970.0,ODS3
2016,Horizonte 2020,732423,PYroelectric Conformable SEnsor matrix for Large area applications in security and safety,UNIVERSIDAD CARLOS III DE MADRID,MADRID,2017-01-01,2019-12-31,3814297.5,ODS16
2016,Horizonte 2020,731968,"RoBot for Autonomous unDerGround trenchless opERations, mapping and navigation",UNIVERSIDAD CARLOS III DE MADRID,MADRID,2017-01-01,2020-06-30,3698003.5,ODS9
