REF.,TÍTULO,BENEFICIARIO,CCAA,INICIO,FIN,PRESUPUESTO TOTAL,CONTRIBUCIÓN UE,ODS,ODS1,ODS2,ODS3,ODS4,ODS5,ODS6,ODS7,ODS8,ODS9,ODS10,ODS11,ODS12,ODS13,ODS14,ODS15,ODS16,ODS17
LIFE22-ENV-ES-LIFE-ZEROLANDFILLING/101114213,Recovering landfill waste through an innovative and integrated process committed to the circular economy,UNIVERSIDAD DE ALCALA,MADRID,01/09/2023,30/11/2026,4927305.0,2956383.0,SI,,,,,,,,SI,,,,,,,,,
LIFE22-ENV-ES-LIFE-ELEKTRA/101113771,Circular economy applied to nitrate removal: hydrogen generation and waste recovery in drinking water,UNIVERSIDAD DE ALICANTE,C.VALENCIANA,01/10/2023,31/03/2027,2329944.0,1397967.0,SI,,,,,,SI,,,,,,,,,,,
LIFE22-CCA-ES-LIFE-COSTAdapta/101113851,Soft systems for progressive coastal adaptation to climate change,UNIVERSIDAD DE CANTABRIA,CANTABRIA,01/07/2023,30/06/2030,3337563.0,2002538.0,SI,,,,,,,,,,,,,SI,,,,
LIFE22-ENV-ES-LIFET4C/101113745,Circular and safe solution for synthetic turf pitches,UNIVERSIDAD DE CASTILLA - LA MANCHA,CASTILLA-LA MANCHA,01/09/2023,28/02/2027,3621367.0,2172644.0,SI,,SI,,SI,,,,,,,,,,,,,
LIFE22-CCA-ES-LIFE-COSTAdapta/101113851,Soft systems for progressive coastal adaptation to climate change,UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA,CANARIAS,01/07/2023,30/06/2030,3337563.0,2002538.0,SI,,,,,,,,,,,,,SI,,,,
LIFE22-NAT-ES-LIFE-Phoenix/101113584,Restoration and improvement of Priority Habitat 9370* Palm groves of Phoenix,UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA,CANARIAS,01/07/2023,30/06/2028,3901577.0,2923777.0,SI,,,,,,SI,,,,,,,,,,,
LIFE22-ENV-ES-BIG4LIFE/101114024,BIG4LIFE (Building-integrated Greenery): Collaborative xeriscaping-based maintenance and monitoring in Mediterranean cities,UNIVERSIDAD DE LLEIDA,CATALUÑA,01/09/2023,31/08/2026,1807480.0,1084488.0,SI,,,,,,,,,SI,,,,,,,,
LIFE22-IPC-ES-LIFE-PYRENEES4CLIMA/101104957,Towards a climate resilient cross-border mountain community in the Pyrenees,UNIVERSIDAD DE NAVARRA,NAVARRA,01/10/2023,30/04/2031,19829878.0,11897927.0,SI,SI,,,,,,,,,,,,,,,,
LIFE22-ENV-ES-LIFE-ABATE/101113838,"Marketable high performance compact technologies for the abatement of VOCs in EU waste treatment plants, decreasing CO2 emissions and energy consumption.",UNIVERSIDAD DE VALLADOLID,CASTILLA Y LEON,16/10/2023,15/10/2027,3246062.0,1947637.0,SI,,SI,,,,,,,,,,SI,,,,,
LIFE22-CET-EC4RURAL/101120607,Fostering local engagement for Clean Energy Transition in Rural Areas through Energy Communities,UNIVERSIDAD DE VIGO,GALICIA,01/09/2023,31/08/2027,1578130.0,1499224.0,SI,,,,,,,SI,,,,,,,,,,
LIFE22-CCM-ES-CLIMAWIN/101113948,Climate change mitigation in the wine sector: sustainable practices in vineyard and winery,UNIVERSIDAD DE ZARAGOZA,ARAGON,01/07/2023,31/12/2026,994195.0,596517.0,SI,,,,,,,,,,,,,SI,,,,
LIFE22-CET-BIRTUOSS/101120660,"Basque Integrated Renovation model (Opengela): enabling a fair, clean energy Transition through a Unique network of One-Stop-Shops.",UNIVERSIDAD DEL PAIS VASCO/EUSKAL HERRIKO UNIBERTSITATEA,PAIS VASCO,01/09/2023,31/08/2026,1578863.0,1499913.0,SI,,,,,,,SI,,,,,,,,,,
LIFE22-CCA-ES-LIFE-TRIPLET/101113915,LIFE TRIPLET: Digitalisation of efficient fertigation management for a sustainable agriculture.,UNIVERSIDAD POLITECNICA DE CARTAGENA,MURCIA,01/09/2023,31/08/2026,2839669.0,1703801.0,SI,,,,SI,,SI,,,,,,,,,SI,,
LIFE22-ENV-ES-LIFEBauhausingEurope/101113886,"Beautiful, sustainable, together: validation of the New European Bauhaus approach for the reimagination of public buildings as boosting projects for the transformation of their neighbourhoods.",UNIVERSIDAD POLITECNICA DE CARTAGENA,MURCIA,01/10/2023,30/09/2027,4624142.0,2774485.0,SI,,,,,,,,,,,SI,,,,,,
LIFE22-IPC-ES-LIFE-PYRENEES4CLIMA/101104957,Towards a climate resilient cross-border mountain community in the Pyrenees,UNIVERSITAT AUTONOMA DE BARCELONA,CATALUÑA,01/10/2023,30/04/2031,19829878.0,11897927.0,SI,SI,,,,,,,,,,,,,,,,
LIFE22-IPC-ES-LIFE-PYRENEES4CLIMA/101104957,Towards a climate resilient cross-border mountain community in the Pyrenees,UNIVERSITAT DE BARCELONA,CATALUÑA,01/10/2023,30/04/2031,19829878.0,11897927.0,SI,SI,,,,,,,,,,,,,,,,
LIFE22-ENV-ES-LIFE-ELEKTRA/101113771,Circular economy applied to nitrate removal: hydrogen generation and waste recovery in drinking water,UNIVERSITAT DE VALENCIA,C.VALENCIANA,01/10/2023,31/03/2027,2329944.0,1397967.0,SI,,,,,,SI,,,,,,,,,,,
LIFE22-ENV-ES-LIFE-ABATE/101113838,"Marketable high performance compact technologies for the abatement of VOCs in EU waste treatment plants, decreasing CO2 emissions and energy consumption.",UNIVERSITAT POLITECNICA DE CATALUNYA,CATALUÑA,16/10/2023,15/10/2027,3246062.0,1947637.0,SI,,SI,,,,,,,,,,SI,,,,,
LIFE22-IPC-ES-LIFE-PYRENEES4CLIMA/101104957,Towards a climate resilient cross-border mountain community in the Pyrenees,UNIVERSITAT POLITECNICA DE CATALUNYA,CATALUÑA,01/10/2023,30/04/2031,19829878.0,11897927.0,SI,SI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,75499224.0,,,,,,,,,,,,,,,,,,
