REF.,SUBÁREA,BENEFICIARIO,CENTRO,CCAA,DURACIÓN,CUANTÍA,ODS,ODS1,ODS2,ODS3,ODS4,ODS5,ODS6,ODS7,ODS8,ODS9,ODS10,ODS11,ODS12,ODS13,ODS14,ODS15,ODS16,ODS17
PDC2022-133730-I00,MAR,UNIVERSIDAD DE OVIEDO,DPTO. BIOLOGIA FUNCIONAL,PDO.ASTURIAS,2,149500.0,SI,,,,,,,,,,,,,,SI,,,
PDC2022-133435-I00,QMC,UNIVERSIDAD DE OVIEDO,DPTO. QUÍMICA FÍSICA Y ANALÍTICA,PDO.ASTURIAS,2,120750.0,SI,,,,,,,,,,,,SI,,,,,
PDC2022-133411-I00,EDU,UNIVERSIDAD DE OVIEDO,VICERRECTORADO DE INVESTIGACION,PDO.ASTURIAS,2,43700.0,SI,,,,SI,,,,,,,,,,,,,
PDC2022-133206-I00,IQM,UNIVERSIDAD DE ALMERIA,CENTRO DE INVESTIGACION EN BIOTECNOLOGIA AGROALIMENTARIA (BITAL),ANDALUCIA,2,104305.0,SI,,,,,,,,,SI,,,SI,,,,,
PDC2022-133370-I00,INF,UNIVERSIDAD DE ALMERIA,DPTO. DE INFORMÁTICA,ANDALUCIA,2,143750.0,SI,,,,,,,,,SI,,,,,,,,
PDC2022-133708-C32,EYA,UNIVERSIDAD DE ALMERIA,FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES,ANDALUCIA,2,23805.0,SI,,,,,,,,SI,SI,,,,,,,,
PDC2022-133749-I00,BTC,UNIVERSIDAD DE CORDOBA,DPTO. GENETICA,ANDALUCIA,2,143750.0,SI,,,SI,,,,,,SI,,,,,,,,
PDC2022-133285-C22,ICA,UNIVERSIDAD DE CORDOBA,ESCUELA TECNICA SUPERIOR DE INGENIEROS AGRONOMOS Y DE MONTES,ANDALUCIA,2,69000.0,SI,,,,,,,,,SI,,SI,,,,,,
PDC2022-133395-C44,AYF,UNIVERSIDAD DE CORDOBA,ESCUELA TECNICA SUPERIOR DE INGENIEROS AGRONOMOS Y DE MONTES,ANDALUCIA,2,39100.0,SI,,SI,,,,,,,,,,,,,SI,,
PDC2022-133973-I00,ENE,UNIVERSIDAD DE CORDOBA,FACULTAD DE CIENCIAS,ANDALUCIA,2,115000.0,SI,,,,,,,SI,,,,,,SI,,,,
PDC2022-133892-I00,HIS,UNIVERSIDAD DE CORDOBA,FACULTAD DE FILOSOFIA Y LETRAS,ANDALUCIA,2,102350.0,SI,,,,,,,,,,,SI,,,,,SI,
