Área,Nombre del Área,Subárea,Nombre de la Subárea
CTQ,Ciencias y tecnologías químicas,IQM,Ingeniería química
,,QMC,Química
EYT,Energía y transporte,ENE,Energía
,,TRA,Transporte
FIS,Ciencias físicas,AYA,Astronomía y astrofísica
,,ESP,Investigación espacial
,,FPN,Física de partículas y nuclear
,,FYA,Física y sus aplicaciones
MAT,Ciencias y tecnologías de materiales,MBM,Materiales para biomedicina
,,MEN,Materiales para la energía y el medioambiente
,,MES,Materiales estructurales
,,MFU,"Materiales con funcionalidad eléctrica, magnética, óptica o térmica"
MTM,Ciencias matemáticas,MTM,Ciencias matemáticas
PIN,"Producción industrial, ingeniería civil e ingenierías para la sociedad",IBI,Ingeniería biomédica
,,ICA,Ingeniería civil y arquitectura
,,IEA,"Ingeniería eléctrica, electrónica y automática"
,,INA,"Ingeniería mecánica, naval y aeronáutica"
TIC,Tecnologías de la información y de las comunicaciones,INF,Ciencias de la computación y tecnología informática
,,MNF,"Microelectrónica, nanotecnología y fotónica"
,,TCO,Tecnologías de las comunicaciones
