Área,Nombre del Área,Subárea,Nombre de la Subárea
CSO,Ciencias sociales,COM,Comunicación
,,CPO,Ciencia política
,,FEM,"Estudios feministas, de las mujeres y de género"
,,GEO,Geografía
,,SOC,Sociología y antropología social
DER,Derecho,DER,Derecho
ECO,Economía,EYA,Economía y sus aplicaciones
,,EYF,Empresas y finanzas
,,MAE,Métodos de análisis económico
EDU,Ciencias de la educación,EDU,Ciencias de la educación
FLA,"Cultura: filología, literatura y arte",ART,"Arte, bellas artes, museística"
,,LFL,"Literatura, filología, lenguas y culturas antiguas y estudios culturales"
MLP,"Mente, lenguaje y pensamiento",FIL,Filosofía
,,LYL,Lingüística y lenguas
PHA,"Estudios del pasado: historia y arqueología",ARQ,Arqueología
,,HIS,Historia
PSI,Psicología,PSI,Psicología
