Área,Nombre del Área,Subárea,Nombre de la Subárea
BIO,Biociencias y biotecnología,BIF,Biología integrativa y fisiología
,,BMC,Biología molecular y celular
,,BTC,Biotecnología
BME,Biomedicina,CAN,Cáncer
,,DPT,"Herramientas diagnósticas, pronósticas y terapéuticas"
,,ESN,Enfermedades del sistema nervioso
,,FOS,Fisiopatología de órganos y sistemas
,,IIT,Inmunidad, infección y nuevas terapias
CAA,Ciencias agrarias y agroalimentarias,ALI,Ciencias y tecnologías de alimentos
,,AYF,Agricultura y forestal
,,GYA,Ganadería y acuicultura
CTM,Ciencias y tecnologías medioambientales,BDV,Biodiversidad
,,CTA,Ciencias de la Tierra y del agua
,,CYA,Clima y atmósfera
,,MAR,Ciencias y tecnologías marinas
,,POL,Investigación polar
,,TMA,Tecnologías medioambientales
